,BRK.B,JPM,JNJ,UNH,PG,BAC,CMCSA,XOM,INTC,VZ,PFE,KO,T,ABT,PEP,CSCO,WMT,ABBV,WFC,MRK,CVX,LLY,MDT,C,DIS,HON,PM,NEE,ORCL,AMGN,MS,RTX,CAT,GS,IBM,GE,BLK,MMM,TGT,CVS,SCHW,DE,ANTM,AXP,MO,CI,MDLZ,PLD,TFC,GILD,PNC,USB,DHR,TMUS,CME,UPS,DUK,GM,QCOM,CSX,COP,FDX,COF,BMY,NSC,MMC,SO,APD,ITW,CB,BX,FCX,D,WM,NEM,HCA,PGR,ETN,EMR,F,HUM,NOC,DOW,JCI,EOG,GD,AIG,DD,LMT,TEL,TT,KMB,EXC,TROW,SLB,MET,AEP,PPG,PRU,SPG,BK,BIIB,TRV,MPC,CARR,PH,EBAY,ALL,SYY,SRE,STZ,WBA,GIS,XEL,CMI,CTSH,MAR,ADM,PSX,HPQ,LUV,DFS,IFF,KMI,AFL,ZBH,SWK,OTIS,CTVA,TDG,WLTW,GLW,DHI,VLO,WMB,PCAR,PEG,WELL,NUE,MCK,KKR,DAL,AMP,ADI,LYB,FITB,WEC,STT,EQR,AVB,WY,LEN,AWK,CBRE,ES,BBY,LH,KHC,DTE,ED,SYF,VFC,IP,DELL,CCL,OXY,URI,NTRS,KDP,CDW,TSN,OKE,HIG,FTV,DLTR,VIAC,RSG,RF,PPL,KEY,LVS,WDC,KR,GRMN,DOV,XYL,CFG,EIX,ETR,AEE,VTR,BAX,QRVO,MTB,HPE,ALLY,FE,GWW,STX,APTV,AVGO,BDX,ICE,AJG,LHX,EXR,CNC,KMX,HBAN,ALXN,NDAQ,MAA,ESS,MSI,HOLX,IR,SUM
09/03/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/06/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/07/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/08/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/09/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/10/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/13/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/14/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/15/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/16/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/17/2021,2.97,2.82,2.6,2.26,1.98,1.91,1.57,1.6,1.36,1.32,1.31,1.26,1.23,1.23,1.23,1.2,1.19,1.19,1.12,1.18,1.21,1.19,1.0,0.88,0.0,0.91,0.93,0.86,0.81,0.84,0.82,0.77,0.71,0.77,0.78,0.71,0.72,0.69,0.72,0.66,0.63,0.6,0.56,0.6,0.53,0.49,0.53,0.53,0.45,0.52,0.49,0.46,0.52,0.49,0.46,0.45,0.45,0.46,0.48,0.44,0.49,0.43,0.42,0.89,0.4,0.43,0.38,0.38,0.38,0.36,0.4,0.33,0.36,0.35,0.3,0.33,0.34,0.35,0.35,0.35,0.34,0.32,0.28,0.29,0.29,0.27,0.24,0.25,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.25,0.24,0.24,0.26,0.24,0.31,0.23,0.24,0.25,0.24,0.27,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.22,0.0,0.2,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.17,0.18,0.2,0.17,0.17,0.19,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.16,0.13,0.17,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.14,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.55,0.21,0.2,0.17,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,89.99
09/20/2021,2.98,2.83,2.67,2.3,2.04,1.88,1.63,1.35,1.28,1.26,1.51,1.28,1.14,1.31,1.26,1.31,1.22,1.25,1.1,1.13,1.09,1.3,1.05,0.87,0.0,0.94,0.94,0.94,0.9,0.76,0.91,0.75,0.68,0.82,0.7,0.68,0.76,0.66,0.72,0.66,0.65,0.62,0.54,0.58,0.54,0.42,0.51,0.58,0.45,0.53,0.47,0.45,0.61,0.45,0.42,0.41,0.47,0.37,0.48,0.43,0.44,0.37,0.44,0.87,0.37,0.47,0.41,0.35,0.39,0.41,0.5,0.31,0.37,0.38,0.27,0.4,0.33,0.39,0.37,0.3,0.31,0.31,0.27,0.31,0.23,0.28,0.27,0.23,0.25,0.29,0.28,0.27,0.28,0.3,0.23,0.24,0.26,0.22,0.24,0.26,0.25,0.3,0.23,0.23,0.29,0.22,0.29,0.24,0.23,0.23,0.2,0.22,0.21,0.22,0.2,0.24,0.0,0.2,0.18,0.22,0.17,0.23,0.22,0.18,0.2,0.18,0.18,0.23,0.19,0.19,0.17,0.18,0.18,0.16,0.18,0.17,0.19,0.21,0.21,0.19,0.21,0.15,0.19,0.26,0.16,0.16,0.17,0.18,0.17,0.19,0.16,0.18,0.19,0.18,0.18,0.15,0.17,0.14,0.14,0.15,0.17,0.15,0.14,0.15,0.0,0.13,0.15,0.14,0.15,0.16,0.14,0.14,0.14,0.14,0.12,0.14,0.15,0.0,0.13,0.0,0.0,0.0,0.15,0.16,0.15,0.14,0.0,0.13,0.13,0.13,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.56,0.21,0.2,0.17,0.14,0.15,0.0,0.12,0.13,0.0,0.13,0.13,0.13,0.12,0.12,0.12,90.33999999999997
